qber_target,qber_observed_mean,sifted_bits,final_key_bits,yield_per_raw_bit,abort_rate,n_trials
0.0,0.0,4094.6,256.0,0.03125,0.0,20
0.005,0.00552,4088.8,256.0,0.03125,0.0,20
0.01,0.01123,4106.2,256.0,0.03125,0.0,20
0.015,0.01601,4092.8,256.0,0.03125,0.0,20
0.02,0.01768,4102.8,256.0,0.03125,0.0,20
0.025,0.02557,4092.8,256.0,0.03125,0.0,20
0.03,0.03133,4086.2,256.0,0.03125,0.0,20
0.035,0.0342,4094.8,256.0,0.03125,0.0,20
0.04,0.03989,4104.1,256.0,0.03125,0.0,20
0.045,0.05075,4094.3,256.0,0.03125,0.0,20
0.05,0.0524,4097.6,256.0,0.03125,0.0,20
0.055,0.05494,4119.9,256.0,0.03125,0.0,20
0.06,0.06028,4086.3,256.0,0.03125,0.0,20
0.065,0.0619,4106.1,256.0,0.03125,0.0,20
0.07,0.06997,4092.8,256.0,0.03125,0.0,20
0.075,0.0736,4093.8,256.0,0.03125,0.0,20
0.08,0.07564,4096.0,256.0,0.03125,0.0,20
0.085,0.08526,4104.8,256.0,0.03125,0.0,20
0.09,0.08679,4097.3,230.4,0.028125,0.1,20
0.095,0.10085,4074.9,179.2,0.021875,0.3,20
0.1,0.09618,4101.4,217.6,0.026562,0.15,20
0.105,0.10263,4106.9,166.4,0.020313,0.35,20
0.11,0.10987,4091.7,115.2,0.014063,0.55,20
0.115,0.11733,4082.8,76.8,0.009375,0.7,20
0.12,0.12002,4098.6,89.6,0.010937,0.65,20
