qber,h2_qber,ec_leak_fraction,net_secure_fraction,net_key_bps,pool_stable,depletion_time_s
0.000000,0.000000,0.000000,1.000000,1000000.000,True,
0.000200,0.002746,0.003185,0.994069,994068.526,True,
0.000400,0.005092,0.005907,0.989001,989001.177,True,
0.000600,0.007287,0.008453,0.984260,984260.064,True,
0.000800,0.009384,0.010885,0.979731,979730.853,True,
0.001000,0.011408,0.013233,0.975359,975359.243,True,
0.001200,0.013373,0.015513,0.971113,971113.251,True,
0.001400,0.015291,0.017737,0.966972,966971.745,True,
0.001600,0.017167,0.019913,0.962920,962919.703,True,
0.001800,0.019007,0.022048,0.958946,958945.896,True,
0.002000,0.020814,0.024144,0.955042,955041.606,True,
0.002200,0.022593,0.026207,0.951200,951199.870,True,
0.002400,0.024345,0.028240,0.947415,947414.995,True,
0.002600,0.026073,0.030245,0.943682,943682.243,True,
0.002800,0.027779,0.032224,0.939998,939997.605,True,
0.003000,0.029464,0.034178,0.936358,936357.648,True,
0.003200,0.031130,0.036111,0.932759,932759.396,True,
0.003400,0.032778,0.038022,0.929200,929200.247,True,
0.003600,0.034408,0.039914,0.925678,925677.906,True,
0.003800,0.036023,0.041787,0.922190,922190.333,True,
0.004000,0.037622,0.043642,0.918736,918735.702,True,
0.004200,0.039207,0.045480,0.915312,915312.371,True,
0.004400,0.040778,0.047303,0.911919,911918.855,True,
0.004600,0.042336,0.049110,0.908554,908553.804,True,
0.004800,0.043881,0.050903,0.905216,905215.984,True,
0.005000,0.045415,0.052681,0.901904,901904.265,True,
0.005200,0.046936,0.054446,0.898618,898617.607,True,
0.005400,0.048447,0.056198,0.895355,895355.052,True,
0.005600,0.049946,0.057938,0.892116,892115.711,True,
0.005800,0.051436,0.059665,0.888899,888898.758,True,
0.006000,0.052915,0.061381,0.885703,885703.426,True,
0.006200,0.054385,0.063086,0.882529,882528.999,True,
0.006400,0.055845,0.064780,0.879375,879374.805,True,
0.006600,0.057296,0.066464,0.876240,876240.215,True,
0.006800,0.058739,0.068137,0.873125,873124.641,True,
0.007000,0.060172,0.069800,0.870028,870027.525,True,
0.007200,0.061598,0.071454,0.866948,866948.344,True,
0.007400,0.063015,0.073098,0.863887,863886.604,True,
0.007600,0.064425,0.074733,0.860842,860841.835,True,
0.007800,0.065827,0.076359,0.857814,857813.595,True,
0.008000,0.067222,0.077977,0.854801,854801.463,True,
0.008200,0.068609,0.079586,0.851805,851805.040,True,
0.008400,0.069989,0.081187,0.848824,848823.945,True,
0.008600,0.071362,0.082780,0.845858,845857.815,True,
0.008800,0.072729,0.084365,0.842906,842906.308,True,
0.009000,0.074088,0.085943,0.839969,839969.091,True,
0.009200,0.075442,0.087512,0.837046,837045.852,True,
0.009400,0.076789,0.089075,0.834136,834136.288,True,
0.009600,0.078130,0.090630,0.831240,831240.111,True,
0.009800,0.079464,0.092179,0.828357,828357.046,True,
0.010000,0.080793,0.093720,0.825487,825486.826,True,
0.010200,0.082116,0.095255,0.822629,822629.199,True,
0.010400,0.083433,0.096783,0.819784,819783.918,True,
0.010600,0.084745,0.098304,0.816951,816950.750,True,
0.010800,0.086051,0.099819,0.814129,814129.467,True,
0.011000,0.087352,0.101328,0.811320,811319.853,True,
0.011200,0.088647,0.102831,0.808522,808521.697,True,
0.011400,0.089938,0.104328,0.805735,805734.797,True,
0.011600,0.091223,0.105818,0.802959,802958.958,True,
0.011800,0.092503,0.107303,0.800194,800193.991,True,
0.012000,0.093778,0.108782,0.797440,797439.715,True,
