qber,h2,r_fec_1.00,r_fec_1.16,r_fec_1.25
0.0,0.0,1.0,1.0,1.0
0.005,0.045415,0.909171,0.901904,0.897817
0.01,0.080793,0.838414,0.825487,0.818215
0.015,0.112361,0.775279,0.757301,0.747188
0.02,0.141441,0.717119,0.694488,0.681759
0.025,0.168661,0.662678,0.635692,0.620513
0.03,0.194392,0.611216,0.580114,0.562618
0.035,0.218878,0.562245,0.527224,0.507525
0.04,0.242292,0.515416,0.476649,0.454843
0.045,0.264765,0.47047,0.428108,0.404279
0.05,0.286397,0.427206,0.381383,0.355607
0.055,0.307268,0.385463,0.3363,0.308646
0.06,0.327445,0.34511,0.292719,0.263249
0.065,0.346981,0.306037,0.25052,0.219292
0.07,0.365924,0.268153,0.209605,0.176672
0.075,0.384312,0.231377,0.169887,0.135299
0.08,0.402179,0.195642,0.131293,0.095097
0.085,0.419556,0.160887,0.093758,0.055998
0.09,0.43647,0.12706,0.057225,0.017943
0.095,0.452943,0.094115,0.021644,-0.019121
0.1,0.468996,0.062009,-0.01303,-0.05524
0.105,0.484648,0.030705,-0.046839,-0.090457
0.11,0.499916,0.000168,-0.079818,-0.124811
0.115,0.514816,-0.029631,-0.112002,-0.158335
0.12,0.529361,-0.058722,-0.143419,-0.191062
