qber,r_asymptotic,r_n1e4,r_n1e5,r_n1e6,r_n1e7,r_n1e8
0.0,0.99999983468273,0.5905190944158882,0.8705106549612256,0.9590517606560458,0.9870509167105795,0.9959050272800616
0.0025,0.9455423709161196,0.5360616306492778,0.8160531911946152,0.9045942968894354,0.9325934529439691,0.9414475635134512
0.005,0.9019042645847032,0.4924235243178614,0.7724150848631988,0.860956190558019,0.8889553466125527,0.8978094571820348
0.0075,0.8623621263095342,0.45288138604269246,0.7328729465880298,0.82141405228285,0.8494132083373838,0.8582673189068658
0.01,0.8254868267816793,0.4160060865148375,0.6959976470601749,0.7845387527549951,0.8125379088095288,0.8213920193790109
0.0125,0.7905996513477165,0.3811189110808747,0.6611104716262121,0.7496515773210323,0.777650733375566,0.786504843945048
0.015,0.7573008662079266,0.3478201259410848,0.6278116864864222,0.7163527921812424,0.7443519482357761,0.7532060588052581
0.0175,0.72532636038057,0.3158456201137282,0.5958371806590655,0.6843782863538858,0.7123774424084195,0.7212315529779015
0.02,0.6944884298056732,0.2850076895388314,0.5649992500841687,0.653540355778989,0.6815395118335227,0.6903936224030047
0.0225,0.6646467445005859,0.25516600423374414,0.5351575647790815,0.6236986704739017,0.6516978265284354,0.6605519370979175
0.025,0.6356923905113735,0.22621165024453171,0.5062032107898691,0.5947443164846893,0.622743472539223,0.6315975831087051
0.0275,0.607538370048925,0.1980576297820832,0.47804919032742055,0.5665902960222408,0.5945894520767745,0.6034435626462565
0.03,0.5801135893550682,0.1706328490882264,0.45062440963356376,0.539165515328384,0.5671646713829177,0.5760187819523997
0.0325,0.5533588516285363,0.14387811136169448,0.42386967190703184,0.512410777601852,0.5404099336563858,0.5492640442258678
0.035,0.5272241109177991,0.1177433706509573,0.39773493119629466,0.48627603689111487,0.5142751929456486,0.5231293035151307
0.0375,0.501666495717493,0.09218575545065122,0.3721773159959886,0.4607184216908088,0.4887175777453426,0.49757168831482457
0.04,0.4766488716174914,0.06716813135064964,0.347159691895987,0.43570079759080727,0.463699953645341,0.472554064214823
0.0425,0.4521387625878953,0.042658022321053535,0.3226495828663909,0.4111906885612111,0.4391898446157449,0.4480439551852269
0.045,0.4281075268833561,0.018626786616514346,0.2986183471618517,0.38715945285667197,0.4151586089112057,0.4240127194806877
0.0475,0.40452971663399145,0.0,0.27504053691248703,0.3635816426073073,0.39158079866184103,0.400434909231323
0.05,0.38138258189293445,0.0,0.25189340217143,0.3404345078662503,0.368433663920784,0.377287774490266
0.0525,0.35864562102298486,0.0,0.22915644130148044,0.3176975469963007,0.34569670305083444,0.35455081362031643
0.055,0.3363003427831669,0.0,0.20681116306166247,0.2953522687564827,0.3233514248110165,0.33220553538049846
0.0575,0.31432991376890945,0.0,0.18484073404740503,0.2733818397422253,0.30138099579675903,0.310235106366241
0.06,0.2927189762507458,0.0,0.16322979652924136,0.2517709022240616,0.27977005827859536,0.28862416884807734
0.0625,0.2714534562283607,0.0,0.14196427650685628,0.23050538220167652,0.2585045382562103,0.26735864882569227
0.065,0.2505204177585677,0.0,0.12103123803706328,0.20957234373188352,0.23757149978641726,0.24642561035589927
0.0675,0.22990792028103374,0.0,0.10041874055952932,0.18895984625434956,0.2169590023088833,0.2258131128783653
0.07,0.20960491411532917,0.0,0.08011573439382474,0.16865684008864498,0.19665599614317872,0.20551010671266073
0.0725,0.18960114355569446,0.0,0.06011196383419004,0.14865306952901028,0.17665222558354401,0.18550633615302603
0.075,0.16988706486130872,0.0,0.0403978851398043,0.12893899083462454,0.15693814688915828,0.1657922574586403
0.0775,0.15045377497538576,0.0,0.020964595253881335,0.10950570094870157,0.1375048570032353,0.14635896757271732
0.08,0.13129294951969112,0.0,0.001803769798186694,0.09034487549300693,0.11834403154754067,0.12719814211702268
0.0825,0.11239678851686152,0.0,0.0,0.07144871449017734,0.09944787054471108,0.1083019811141931
0.085,0.0937579687259309,0.0,0.0,0.05280989469924671,0.08080905075378045,0.08966316132326248
0.0875,0.07536960156417616,0.0,0.0,0.034421527537491975,0.06242068359202571,0.07127479416150774
0.09,0.05722519596779463,0.0,0.0,0.016277121941110445,0.04427627799564418,0.05313038856512621
0.0925,0.03931862509240325,0.0,0.0,0.0,0.026369707120252803,0.03522381768973483
0.095,0.021644096896614506,0.0,0.0,0.0,0.008695178924464062,0.017549289493946088
0.0975,0.004196127722698173,0.0,0.0,0.0,0.0,0.00010132032002975466
0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.1025,0.0,0.0,0.0,0.0,0.0,0.0
0.105,0.0,0.0,0.0,0.0,0.0,0.0
0.1075,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,0.0,0.0,0.0,0.0,0.0,0.0
0.115,0.0,0.0,0.0,0.0,0.0,0.0
0.1175,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.0,0.0,0.0
0.1225,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.0,0.0,0.0
0.1275,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.0,0.0,0.0,0.0,0.0,0.0
0.1325,0.0,0.0,0.0,0.0,0.0,0.0
0.135,0.0,0.0,0.0,0.0,0.0,0.0
0.1375,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.0,0.0,0.0,0.0,0.0,0.0
0.1425,0.0,0.0,0.0,0.0,0.0,0.0
0.145,0.0,0.0,0.0,0.0,0.0,0.0
0.1475,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
