seed,eavesdrop_fraction,qber_measured,sift_ratio,ml_p_attack,ml_detection_rate
0,0.0,0.007141,0.501676,0.008662,0.0
1,0.0,0.00783,0.498047,0.014271,0.0
2,0.0,0.005874,0.500033,0.000876,0.0
3,0.0,0.007848,0.500358,0.018444,0.0
4,0.0,0.006243,0.499105,0.000889,0.0
0,0.1,0.031284,0.500114,0.277212,0.2
1,0.1,0.029618,0.500553,0.257643,0.2
2,0.1,0.038627,0.502279,0.463581,0.4
3,0.1,0.032203,0.500195,0.292352,0.266667
4,0.1,0.030456,0.499219,0.222675,0.133333
0,0.2,0.054069,0.497738,0.631999,0.6
1,0.2,0.04969,0.501758,0.617487,0.733333
2,0.2,0.052911,0.502816,0.659219,0.733333
3,0.2,0.056491,0.501823,0.751422,0.733333
4,0.2,0.064047,0.496533,0.799028,0.866667
0,0.3,0.079099,0.497103,0.925885,0.933333
1,0.3,0.085126,0.500212,0.971608,1.0
2,0.3,0.081264,0.502669,0.900104,1.0
3,0.3,0.081007,0.500505,0.881899,0.866667
4,0.3,0.082741,0.498535,0.957498,1.0
0,0.4,0.105808,0.502783,0.978191,1.0
1,0.4,0.106599,0.50153,0.991574,1.0
2,0.4,0.113481,0.504411,0.998224,1.0
3,0.4,0.11318,0.500277,0.999232,1.0
4,0.4,0.110965,0.502409,0.981416,1.0
0,0.5,0.128096,0.496338,0.999321,1.0
1,0.5,0.136906,0.499609,0.998632,1.0
2,0.5,0.128145,0.504541,0.999468,1.0
3,0.5,0.13296,0.500928,0.998918,1.0
4,0.5,0.118526,0.500879,0.987517,1.0
0,0.6,0.155898,0.502523,0.999824,1.0
1,0.6,0.150962,0.498372,0.999692,1.0
2,0.6,0.156315,0.501725,0.999074,1.0
3,0.6,0.150205,0.497721,0.999722,1.0
4,0.6,0.16462,0.498617,0.99989,1.0
0,0.7,0.171361,0.501807,0.999627,1.0
1,0.7,0.179305,0.498096,0.999953,1.0
2,0.7,0.177845,0.498242,0.999915,1.0
3,0.7,0.181367,0.498747,0.999939,1.0
4,0.7,0.188443,0.499626,0.999099,1.0
0,0.8,0.200726,0.50083,0.999278,1.0
1,0.8,0.204387,0.500993,0.99997,1.0
2,0.8,0.210864,0.501318,0.999991,1.0
3,0.8,0.199323,0.501107,0.999953,1.0
4,0.8,0.190861,0.499316,0.999978,1.0
0,0.9,0.22519,0.500342,0.999992,1.0
1,0.9,0.222607,0.498356,0.999997,1.0
2,0.9,0.227581,0.498324,1.0,1.0
3,0.9,0.228014,0.501676,0.999997,1.0
4,0.9,0.22518,0.500602,0.999985,1.0
0,1.0,0.243407,0.498258,1.0,1.0
1,1.0,0.257972,0.494548,1.0,1.0
2,1.0,0.259739,0.503841,1.0,1.0
3,1.0,0.263305,0.502913,1.0,1.0
4,1.0,0.258509,0.502295,1.0,1.0
